cluster_id,service,intent,primary_topic,secondary_topics,existing_url,recommended_action,proposed_url,priority,commercial_value,content_gap,supporting_pages,notes
ME-KW-001,Java Programming,Transactional/Local,Java course in Jaipur,"Core Java; Advanced Java; Spring Boot; Java training; Java classes",java-course-jaipur.html,IMPROVE,,P1,High,"Add clearer prerequisite/duration/batch/assessment decision support; preserve one intent page","java-full-stack-course-jaipur.html; full-stack-development-course-jaipur.html; course-one.html","Do not split Core Java and Advanced Java into near-duplicate Jaipur landing pages unless distinct products are verified"
ME-KW-002,Java Full Stack,Transactional/Local,Java Full Stack course in Jaipur,"Spring Boot full stack; React + Java; Java backend + frontend",java-full-stack-course-jaipur.html,IMPROVE,,P1,High,"Strengthen stack sequence, capstone deliverable, prerequisite and Java-vs-Node decision links","java-course-jaipur.html; react-js-course-jaipur.html; full-stack-development-course-jaipur.html","Live WordPress page currently shows title contamination referencing Grot Academy; migration/cleanup required before deployment"
ME-KW-003,Full Stack Development,Transactional/Local,Full Stack Development course in Jaipur,"full stack training; web development full stack; frontend backend course",full-stack-development-course-jaipur.html,IMPROVE,,P1,High,"Clarify exactly which stack this generic page represents; compare Node vs Java/Python paths instead of overlapping all stack pages","node-js-course-jaipur.html; react-js-course-jaipur.html; java-full-stack-course-jaipur.html; course-one.html","One strong generic decision/pillar page should route users to stack-specific pages"
ME-KW-004,React.js,Transactional/Local,React JS course in Jaipur,"React training; frontend React course; React classes",react-js-course-jaipur.html,IMPROVE,,P2,Medium,"Add prerequisite gate, standalone-vs-frontend-track explanation, project deliverables and next-step links","full-stack-development-course-jaipur.html; node-js-course-jaipur.html; java-full-stack-course-jaipur.html","Avoid separate pages for React course, React training, React classes"
ME-KW-005,Node.js,Transactional/Local,Node JS course in Jaipur,"Node training; Express course; backend JavaScript; Node backend",node-js-course-jaipur.html,IMPROVE,,P1,High,"Critical live URL mismatch: Node content is indexed on email-marketing-course-jaipur-2; define redirect/canonical mapping","full-stack-development-course-jaipur.html; react-js-course-jaipur.html; course-one.html","Do not create a second Node page before migration map"
ME-KW-006,Data Analytics,Transactional/Local,Data Analytics course in Jaipur,"Excel SQL Python Power BI; data analyst course; analytics training",data-analytics-course-jaipur.html,IMPROVE,,P1,High,"Current repo page has good stack/fee clarity; add duration/prerequisite/portfolio decision sections and clean live unverified review/student claims","power-bi-course-jaipur.html; sql-course-jaipur.html; excel-advanced-excel-course-jaipur.html; python-course-jaipur.html","Keep Data Analytics distinct from Data Science by task/output: reporting & BI vs modelling/ML"
ME-KW-007,Power BI,Transactional/Local,Power BI course in Jaipur,"Power BI training; dashboard course; DAX; Power Query",power-bi-course-jaipur.html,IMPROVE,,P2,Medium,"Clarify Excel/SQL prerequisite, dashboard portfolio outputs and when to choose standalone Power BI vs complete analytics track","data-analytics-course-jaipur.html; excel-advanced-excel-course-jaipur.html; sql-course-jaipur.html","No separate Jaipur pages for DAX/Power Query unless separate products exist"
ME-KW-008,DevOps,Transactional/Local,DevOps course in Jaipur,"DevOps training; CI/CD; Jenkins; Docker; Kubernetes; Terraform; cloud DevOps",devops-course-jaipur.html,IMPROVE,,P1,High,"Increase verified lab/project/tool progression depth and troubleshooting outcomes; competitor depth is materially stronger","linux-course-jaipur.html; aws-course-jaipur.html; course-one.html#cloud-devops","Do not create thin Jenkins/Terraform Jaipur pages unless real standalone courses are confirmed"
ME-KW-009,AWS,Transactional/Local,AWS course in Jaipur,"AWS cloud training; cloud computing course; EC2 S3 VPC IAM",aws-course-jaipur.html,IMPROVE,,P2,Medium,"Clarify lab deliverables, prerequisite path and AWS-vs-DevOps relationship","devops-course-jaipur.html; linux-course-jaipur.html; course-one.html#cloud-devops","Avoid certification guarantees"
ME-KW-010,Course Catalogue,Commercial Research,IT training institute in Jaipur,"coding classes Jaipur; programming institute Jaipur; software training Jaipur",course-one.html,IMPROVE,,P1,High,"Use as commercial hub; add concise choose-by-goal navigation and links to strongest course clusters","all indexable course pages","Do not build dozens of city/keyword doorway variants"
ME-KW-011,Local Brand,Local,IT training in Shyam Nagar Jaipur,"coding classes Shyam Nagar; programming course Shyam Nagar",,NEEDS_VERIFICATION,,P1,High,"Live site points to Shyam Nagar while repository site-config lists Tonk Phatak and Shri Kishanpura; NAP truth unresolved",,"No new local landing page until branch identity is verified"
ME-KW-012,Local Brand,Local,IT training in Tonk Phatak Jaipur,"coding classes Tonk Phatak; programming training Tonk Phatak",,NEEDS_VERIFICATION,,P1,Medium,"Repository claims branch; current live search evidence emphasizes Shyam Nagar. Verify ownership/current operations first",,"If verified, a genuine branch page is preferable to city doorway pages"
