task_id,priority,scope,owner,status,branch,claimed_at,updated_at,commit,files_or_urls,dependencies,next_action
ME-AUDIT-001,P1,"Master audit and architecture/SEO baseline",coordinator,DONE,ai/master-audit-seo-foundation,,2026-09-22,8c2568061ee18a93d41b73a1baf171f74d741584,"docs/MASTER-AUDIT-2026-09-21.md",,"Use as historical baseline; verify current main before acting"
ME-COURSE-B001,P1,"Core course pages batch B001",worker,DONE,build/course-pages-b001,,2026-09-22,,"java-course-jaipur.html; python-course-jaipur.html; full-stack-development-course-jaipur.html","Current main architecture","Already represented on main; do not merge historical branch wholesale"
ME-COURSE-B002,P1,"Course pages batch B002",worker,DONE,build/course-pages-b002,,2026-09-22,51777c616c17a8c64a2dd1c5bfbd386dd840cb69,"data analytics; Excel; Java full stack; Node.js; Power BI; React; SQL course pages","Shared course template","Merged on main"
ME-COURSE-B003,P1,"AI/data/cloud/DevOps course pages batch B003",worker,DONE,build/course-pages-b003,,2026-09-22,3dc4d4dd61db6d6a5d04a44fe3e4b370f72bfbda,"Data Science; ML; AI; GenAI; DevOps; AWS; Linux course pages","Shared course template","Merged on main; verify live only after deployment"
ME-LEAD-001,P0,"Repair contact/enquiry page and PHP lead handler",worker-ai-lead-01,BLOCKED,ai/fix-contact-lead-form-v3,2026-09-22T04:32:00+05:30,2026-09-22,33a70b9fa9bbfac5a6096ad7b0f3df170cfd741a,"pages/contact-us.php; mail.php; includes/site-config.php; contact-us.html","Production contact-us.html currently returns HTTP 500; PHP mail transport must also be verified after deployment","Code is integrated and CI-passing; fix production deployment/runtime, then send one authorized synthetic enquiry and verify inbox delivery"
ME-HOME-001,P1,"Review homepage/course catalogue/header changes from older worker branch",coordinator,DONE,build/mango-home-v1,,2026-09-22,,"includes/header.php; pages/index.php; pages/course-one.php","Main has newer course and shared-architecture changes","No merge: current main contains equivalent/newer work and better direct course links"
ME-REFACTOR-001,P1,"Review historical common-layout PHP refactor branch",coordinator,DONE,refactor/php-common-layout,,2026-09-22,,"shared PHP wrappers/includes/.htaccess","Main already contains later architecture","No wholesale merge: valid architecture is already integrated; main shared files are equal or newer"
ME-REFACTOR-002,P1,"Review historical page-body PHP conversion branch",coordinator,DONE,refactor/php-page-bodies,,2026-09-22,,"pages/*.php and removed legacy HTML","Main already contains later architecture","No wholesale merge: main page bodies are newer and include later cleanup/course work"
ME-DEMO-CLEAN-001,P0,"Remove remaining EduBlink/demo claims, fake people/counters/prices/ratings where still present",coordinator,IN_PROGRESS,main,,2026-09-22,aaff04e31430d9f3dcfd419076d461de2faf2886,"template/demo page bodies; pages/about-one.php","Preserve theme/layout and indexed URLs","About page cleaned in repository; continue isolated demo-page cleanup. Production still serves old About content until deployment is corrected"
ME-SEO-URL-001,P1,"Build current live URL -> repository canonical/redirect migration matrix",worker-ai-seo-url-01,IN_PROGRESS,ai/seo-url-migration-matrix,2026-09-22,2026-09-22,,"live URLs; .htaccess; page-config; docs/url-migration-matrix.csv","Must verify current live site and indexed URL families","Inventory live URL families and current repo canonicals; classify keep/merge/redirect/retire before any redirect implementation"
ME-SEO-LINK-001,P2,"Audit orphan pages and internal links after B001-B003",,UNCLAIMED,,,,"course catalogue; course pages; header/footer","B001-B003 merged","Report broken/orphan links and propose integration-queue changes"
ME-SEO-ROBOTS-001,P2,"Create robots.txt and sitemap from approved canonical URL set",,BLOCKED,,,,"robots.txt; sitemap.xml","ME-SEO-URL-001","Do not publish until canonical URL migration matrix is approved"
ME-PERF-IMG-001,P2,"Audit image sizes, duplicate JPG/WebP assets and missing alt text",,UNCLAIMED,,,,"assets/; assests/; public page bodies","Do not rename assests/ until references are mapped","Return safe optimization batch without breaking URLs"
ME-CI-001,P1,"Run PHP architecture validation on direct main pushes",coordinator,DONE,main,,2026-09-22,b832c2c31b92cacb1a23e8cd9efc975c8878a8d6,".github/workflows/php-architecture-check.yml",,"Workflow trigger added; GitHub Actions run started"
ME-COURSE-B004,P1,"Cloud/security/design/marketing course pages B004",worker,DONE,build/course-pages-b004,,2026-09-22,c781c68dd2cd5d2a97cf7ecc3d02240f1aec0e85,"Docker; Kubernetes; Microsoft Azure; Ethical Hacking; UI/UX; Digital Marketing course pages","Shared course template","Integrated on main; duplicate PR #9 closed"
ME-COURSE-B005,P1,"Frontend/mobile/programming course pages B005",worker,DONE,build/course-pages-b005,,2026-09-22,631edf3dbfeb67861bbafaafb32068fb0a019789,"Angular; Next.js; Flutter; Android App Development; PHP; C/C++ course pages","Shared course template","Integrated on main; representative QA complete; duplicate PR #14 closed"
ME-RESP-001,P1,"Responsive layout QA and fixes",worker,DONE,main,,2026-09-22,0c662f97755910f72147b005cab095558baa2c21,"assets/css/mango-overrides.css","Existing theme and page layouts","Main CI passed; production visual verification remains separate"
ME-PROD-500-001,P0,"Resolve live HTTP 500 errors on course catalogue, course detail and contact URLs",coordinator,BLOCKED,main,,2026-09-22,,"course-one.html; contact-us.html; java-course-jaipur.html; other new course .html URLs","Production host deployment/runtime access; repository contains no deployment workflow","Inspect host PHP error log and deployed file set, sync current main completely, then verify affected URLs return 200"
ME-DEPLOY-001,P0,"Reconcile repository main with production deployment state",coordinator,BLOCKED,main,,2026-09-22,,"production host; deployment pipeline","No deployment workflow/config found in repository","Identify authorized Hostinger/deployment mechanism, deploy a coherent main snapshot, verify commit/version on production and rerun live smoke tests"
ME-SEO-RESEARCH-001,P1,"SEO + competitor research cycle 001 for verified Jaipur IT-training clusters",seo-research-worker,REVIEW,seo/research-cycle-001-r2,2026-09-22T04:40:00+05:30,2026-09-22,,"docs/seo-research/*","Latest main + current live/SERP evidence","Coordinator review research docs in PR #17/replacement clean-doc PR; no production code changed by this task"
ME-SEO-COURSE-001,P1,"Improve Full Stack / Java / Node commercial pages without duplicate intent",,UNCLAIMED,,,,"pages/full-stack-development-course-jaipur.php; pages/java-course-jaipur.php; pages/java-full-stack-course-jaipur.php; pages/react-js-course-jaipur.php; pages/node-js-course-jaipur.php","ME-SEO-URL-001","After canonical URL decision: add prerequisites; stack-selection guidance; verified duration/mode if available; concrete project deliverables; contextual links; preserve one page per distinct intent"
ME-SEO-DATA-001,P1,"Separate Data Analytics intent from Data Science and strengthen analytics cluster",,UNCLAIMED,,,,"pages/data-analytics-course-jaipur.php; pages/power-bi-course-jaipur.php; pages/sql-course-jaipur.php; pages/excel-advanced-excel-course-jaipur.php; pages/python-course-jaipur.php","ME-SEO-URL-001","Keep Data Analytics focused on Excel+SQL+Python+Power BI/reporting; avoid ML-heavy overlap; add prerequisites; portfolio outputs; standalone-vs-complete-track guidance; contextual links"
ME-SEO-DEVOPS-001,P1,"Improve DevOps/AWS course depth and cluster navigation",,UNCLAIMED,,,,"pages/devops-course-jaipur.php; pages/aws-course-jaipur.php; pages/linux-course-jaipur.php","ME-SEO-URL-001","Add verified lab progression; CI/CD/container/Kubernetes/cloud deliverables; troubleshooting outcomes; prerequisite path; DevOps↔AWS↔Linux links; do not invent certification or duration claims"
ME-LOCAL-NAP-001,P0,"Verify active Jaipur branches and resolve NAP truth before local SEO expansion",,UNCLAIMED,,,,"includes/site-config.php; contact/footer/location surfaces; live/GMB evidence","Coordinate with ME-LEAD-001 before changing shared config","Verify operational branch names/addresses/phone/hours/GBP links; reconcile Shyam Nagar vs Tonk Phatak vs Shri Kishanpura vs legacy Mansarovar data; only then approve branch pages/schema"
ME-SEO-CONTENT-001,P2,"Publish four decision-support resources tied to commercial clusters",,UNCLAIMED,,,,"future blog/resource pages","ME-SEO-URL-001; commercial page canonicals stable","Create: Java vs Node.js path; Data Analytics roadmap; DevOps roadmap; React vs Full Stack. Each must link to relevant course pages, avoid filler, and use verified non-guaranteed career language"
ME-TUTORIAL-001,P1,"Build scalable /tutorial/ learning library and first five full tutorial tracks",tutorial-worker,DONE,build/tutorial-library-b001,2026-09-22T20:52:00+05:30,2026-09-22,fcea96e4393c16571838174aeed9aa0fe74796f8,"tutorial/; docs/tutorial-research-2026-09-22.md","Preserve current theme; sitemap dependency remains ME-SEO-URL-001","B001 merged; continue future tutorial batches from the documented roadmap; add tutorial URLs to sitemap only after canonical set is approved"
